ReqID,Category,User,Requirement,Dependencies,Priority,TimeEstimate
1,Must,General System,The General System must be accessible via Firefox Browser (Version 56).,,10,0
2,Must,General System,The General System must be accessible via Chrome Browser (Version 61).,,10,0
3,Must,General System,The General System must be accessible via Safari browser (Version 11).,,10,0
4,Must,General System,The General System must be accessible via Edge browser (Version 15).,,10,0
5,Must,General System,The General System must be accessible via iOS 10.,,10,0
6,Must,General System,The General System must be accessible via Android 6.0 (Marshmallow).,,10,0
7,Must,General System,The General System must provide a database to store CLC Client information.,,10,1
8,Must,General System,The General System must provide a database to store CLC Admin information.,,10,1
9,Must,General System,The General System must provide a database to store CLC Staff information.,,10,1
10,Must,General System,The General System must provide a database to store System Admin information.,,10,1
11,Must,General System,The General System must provide a database to store General System information.,,10,1
12,Must,System Admin,The System Admin must be able to create System Admin accounts,10,10,1
13,Must,System Admin,The System Admin must be able to delete System Admin accounts,12,10,0.5
14,Must,System Admin,The System Admin must be able to create CLC Admin accounts.,12,10,1
15,Must,System Admin,The System Admin must be able to delete CLC Admin accounts.,14,10,0.5
16,Must,System Admin,The System Admin must be able to create CLC Staff accounts.,12,10,1
17,Must,System Admin,The System Admin must be able to delete CLC Staff accounts.,16,10,0.5
18,Must,System Admin,The System Admin must be able to create CLC Client groups.,12,10,1
19,Must,System Admin,The System Admin must be able to delete CLC Client groups.,18,10,0.5
20,Must,System Admin,The System Admin must be able to create CLC Client accounts.,12,10,1
21,Must,System Admin,The System Admin must be able to delete CLC Client accounts.,20,10,0.5
22,Must,CLC Admin,The CLC Admin must be able to create CLC Staff accounts.,14,10,1
23,Must,CLC Admin,The CLC Admin must be able to delete CLC Staff accounts.,22,10,0.5
24,Must,CLC Admin,The CLC Admin must be able to create CLC Client groups.,14,10,1
25,Must,CLC Admin,The CLC Admin must be able to delete CLC Client groups.,24,10,0.5
26,Must,CLC Admin,The CLC Admin must be able to create CLC Client accounts.,14,10,1
27,Must,CLC Admin,The CLC Admin must be able to delete CLC Client accounts.,26,10,0.5
28,Must,System Admin,The System Admin must be able to log in with their email and password.,12,10,0.5
29,Must,System Admin,The System Admin must be able to log out of the system.,28,10,0.5
30,Must,CLC Admin,The CLC Admin must be able to log in with their CLC email and password.,14,10,0.5
31,Must,CLC Admin,The CLC Admin must be able to log out of the system.,30,10,0.5
32,Must,CLC Staff,The CLC Staff must be able to log in with their CLC email and password.,22,10,0.5
33,Must,CLC Staff,The CLC Staff must be able to log out of the system.,32,10,0.5
34,Must,CLC Client,The CLC Client must be able to log in with their email and password.,24,10,0.5
35,Must,CLC Client,The CLC Client must be able to log out of the system.,34,10,0.5
36,Must,CLC Admin,The CLC Admin must be able to assign a CLC Client group to a CLC Staff member.,24,10,4
37,Must,CLC Admin,The CLC Admin must be able to assign a CLC Client to a CLC Client group.,36,10,1
38,Must,CLC Admin,The CLC Admin must be able to create a CLC Client's medication schedule.,26,10,4
39,Must,CLC Admin,The CLC Admin must be able to delete a CLC Client's medication schedule.,38,10,2
40,Must,CLC Staff,The CLC Staff must be able to create a medication schedule for the CLC Clients in their CLC Client group.,39,10,2
41,Must,CLC Staff,The CLC Staff must be able to delete a medication schedule for the CLC Clients in their CLC Client group.,40,10,1
42,Must,CLC Staff,The CLC Staff must not be able to create a medication schedule for the CLC Clients outside their CLC Client group.,37,10,0.5
43,Must,CLC Staff,The CLC Staff must not be able to delete a medication schedule for the CLC Clients outside their CLC Client group.,40,10,0.5
44,Must,CLC Client,The CLC Client must be able to create their own medication schedule.,26,10,2
45,Must,CLC Client,The CLC Client must be able to delete medications from their current schedule.,44,10,1
46,Must,CLC Staff,The CLC Staff must be able to view the medication schedules of the CLC Clients in their CLC Client group.,37,10,2
47,Must,CLC Staff,The CLC Staff must not be able to view medication schedules for the CLC Clients outside their CLC Client group.,37,10,0.5
48,Must,CLC Client,A CLC Client must be able to view their own medication schedule.,44,10,2
49,Must,General System,The General System must be able to send mobile notifications.,6,10,4
50,Must,General System,The General System must be able to send web notifications.,4,10,2
51,Must,CLC Client,The CLC Client must be notified when they should take their medication.,50,10,2
52,Must,CLC Client,The CLC Client must be able to set reminders to take their medication.,50,10,0.5
53,Must,CLC Client,The CLC Client must be able to log the medication they are currently taking.,44,10,2
54,Must,CLC Staff,The CLC Staff must not be able to track CLC Clients' medication schedule adherence outside their CLC Client group.,40,10,0.5
55,Must,General System,The General System must be AODA compliant at the AA level.,,20,0
56,Must,General System,The General System must adhere to CASL.,,20,0
57,Must,General System,The General System must contain only plain language.,,20,0
58,Must,General System,The General System must support French.,,20,0
59,Must,CLC Admin,The CLC Admin account must be linked to all CLC Staff accounts by default.,22,20,4
60,Must,CLC Admin,The CLC Admin account must be linked to all CLC Client accounts by default.,26,20,2
61,Must,CLC Admin,The CLC Admin account must not be able to unlink from CLC Staff accounts.,22,20,0.5
62,Must,CLC Admin,The CLC Admin account must not be able to unlink from CLC Client accounts.,26,20,0.5
63,Must,CLC Client,The CLC Client must be linked to their CLC Staff account by default.,26,20,1
64,Must,CLC Client,The CLC Client must not be able to unlink from linked CLC Staff account.,26,20,0.5
65,Must,CLC Client,The CLC Client must be able to send link requests to other CLC Clients.,26,20,1
66,Must,CLC Client,The CLC Client must be able to accept link requests from other CLC Clients.,65,20,1
67,Must,CLC Client,The CLC Client must be able to decline link requests from other CLC Clients.,65,20,1
68,Must,CLC Client,The CLC Client must be able to unlink from another CLC Client.,66,20,0.5
69,Must,CLC Staff,The CLC Staff member must be linked to all CLC Client accounts in their CLC Client group.,37,20,1
70,Must,CLC Staff,The CLC Staff member must not be able to unlink from CLC Client accounts in their CLC Client group.,69,20,0.5
71,Must,CLC Admin,The CLC Admin must be able to edit CLC Client groups.,37,20,1
72,Must,CLC Admin,The CLC Admin must be able to remove a CLC Client group from a CLC Staff.,36,20,1
73,Must,CLC Admin,The CLC Admin must be able to remove a CLC Client from a CLC Client group.,37,20,1
74,Must,CLC Staff,The CLC Staff must not have the ability to add CLC Clients to CLC Client groups.,36,20,0.5
75,Must,CLC Staff,The CLC Staff must not have the ability to remove CLC Clients from CLC Client groups.,37,20,0.5
76,Must,General System,The General System must display CLC's contact information.,6,20,0.5
77,Must,CLC Admin,The CLC Admin must be able to view a CLC Client's medication schedule.,44,20,1
78,Must,CLC Staff,The CLC Staff must be able to view the profile of the CLC Clients in their CLC Client group.,37,20,1
79,Must,CLC Staff,The CLC Staff must not be able to view the information of the CLC Clients outside their CLC Client group.,37,20,0.5
80,Must,CLC Client,The CLC Client must be able to view their designated CLC Staff's profile.,63,20,1
81,Must,System Admin,The System Admin must be able to edit CLC Admin accounts.,14,20,2
82,Must,CLC Admin,The CLC Admin must be able to edit CLC Staff accounts,22,20,1
83,Must,CLC Admin,The CLC Admin must be able to edit CLC Client accounts.,26,20,1
84,Must,General System,The General System must allow password resets via a link sent to the user's email.,26,20,4
85,Must,System Admin,The System Admin must be able to change their password.,12,20,2
86,Must,System Admin,The System Admin must be able to reset their forgotten password.,84,20,2
87,Must,CLC Admin,The CLC Admin must be able to change their password.,14,20,0.5
88,Must,CLC Admin,The CLC Admin must be able to reset their forgotten password.,84,20,0.5
89,Must,CLC Staff,The CLC Staff must be able to change their password.,22,20,0.5
90,Must,CLC Staff,The CLC Staff must be able to reset their forgotten password.,84,20,0.5
91,Must,CLC Client,The CLC Client must be able to change their password.,26,20,0.5
92,Must,CLC Client,The CLC Client must be able to reset their forgotten password.,84,20,0.5
93,Must,CLC Admin,The CLC Admin must be able to edit a CLC Client's medication schedule.,44,20,4
94,Must,CLC Staff,The CLC Staff must be able to edit a medication schedule for the CLC Clients in their CLC Client group.,44,20,1
95,Must,CLC Staff,The CLC Staff must not be able to edit a medication schedule for the CLC Clients outside their CLC Client group.,44,20,0.5
